,uid,location,age,cluster
2,6,usa,61.0,0
8,21,spain,46.0,0
10,25,usa,55.0,0
23,44,usa,51.0,0
28,54,usa,44.0,0
31,63,usa,57.0,0
38,89,usa,54.0,0
39,90,usa,42.0,0
40,93,usa,50.0,0
43,103,usa,53.0,0
44,104,usa,47.0,0
48,117,usa,57.0,0
53,124,usa,58.0,0
54,125,usa,49.0,0
57,129,usa,47.0,0
61,144,usa,62.0,0
62,148,united kingdom,63.0,0
72,168,usa,44.0,0
74,172,brazil,66.0,0
76,177,netherlands,46.0,0
82,191,germany,40.0,0
89,206,france,60.0,0
91,210,usa,54.0,0
96,216,spain,42.0,0
97,218,india,41.0,0
98,228,usa,41.0,0
107,251,spain,54.0,0
108,252,kuwait,65.0,0
111,259,usa,45.0,0
112,260,usa,51.0,0
113,261,germany,45.0,0
132,299,france,42.0,0
134,302,usa,53.0,0
137,308,españa,53.0,0
140,317,usa,41.0,0
146,331,argentina,60.0,0
147,332,usa,59.0,0
152,341,france,50.0,0
159,353,spain,41.0,0
161,367,usa,45.0,0
163,374,germany,45.0,0
165,378,usa,57.0,0
166,379,canada,47.0,0
169,390,usa,48.0,0
172,397,portugal,50.0,0
177,409,portugal,50.0,0
178,410,united kingdom,40.0,0
184,421,usa,47.0,0
188,436,australia,53.0,0
190,443,usa,47.0,0
194,454,united kingdom,50.0,0
195,455,canada,54.0,0
197,457,united kingdom,62.0,0
207,477,usa,45.0,0
209,480,usa,62.0,0
210,482,usa,46.0,0
212,485,usa,51.0,0
215,492,usa,60.0,0
216,496,usa,51.0,0
217,497,usa,51.0,0
219,502,usa,47.0,0
221,512,usa,58.0,0
233,531,usa,56.0,0
236,534,usa,59.0,0
238,540,usa,67.0,0
239,541,usa,45.0,0
245,557,usa,49.0,0
255,581,spain,45.0,0
256,582,australia,56.0,0
258,588,usa,60.0,0
259,591,usa,42.0,0
261,597,usa,43.0,0
265,604,usa,42.0,0
274,617,portugal,54.0,0
275,620,canada,45.0,0
277,629,germany,44.0,0
286,655,usa,58.0,0
287,658,usa,61.0,0
290,663,spain,49.0,0
297,679,usa,65.0,0
300,682,usa,44.0,0
301,684,usa,44.0,0
305,690,usa,80.0,0
307,692,usa,44.0,0
308,693,usa,58.0,0
312,702,usa,53.0,0
313,703,usa,52.0,0
314,710,brazil,42.0,0
317,719,canada,52.0,0
318,722,usa,66.0,0
320,727,portugal,40.0,0
321,733,new zealand,53.0,0
322,744,usa,48.0,0
326,751,spain,41.0,0
333,766,usa,52.0,0
338,784,usa,39.0,0
340,792,usa,44.0,0
341,794,usa,47.0,0
342,801,usa,51.0,0
344,803,spain,41.0,0
348,813,usa,42.0,0
349,815,canada,43.0,0
351,817,usa,41.0,0
356,826,usa,65.0,0
359,830,usa,57.0,0
362,838,usa,71.0,0
366,842,germany,42.0,0
368,846,usa,55.0,0
371,855,germany,54.0,0
374,858,usa,46.0,0
376,862,usa,56.0,0
386,883,usa,43.0,0
388,889,united kingdom,46.0,0
391,895,australia,40.0,0
397,911,usa,40.0,0
399,918,canada,52.0,0
405,928,australia,60.0,0
407,931,usa,43.0,0
409,938,canada,55.0,0
415,958,usa,78.0,0
426,982,usa,41.0,0
428,991,usa,62.0,0
434,1005,usa,67.0,0
435,1006,usa,59.0,0
440,1028,mexico,57.0,0
441,1029,usa,57.0,0
449,1042,usa,40.0,0
451,1045,usa,47.0,0
460,1059,usa,47.0,0
462,1066,usa,59.0,0
466,1072,france,47.0,0
472,1087,usa,46.0,0
475,1090,usa,49.0,0
481,1105,usa,57.0,0
484,1114,new zealand,59.0,0
485,1117,usa,61.0,0
489,1128,usa,61.0,0
496,1143,united kingdom,45.0,0
498,1146,usa,55.0,0
