,Unnamed: 0,uid,isbn,rating
0,0.0,252921.0,0399135782,8.0
1,1.0,12923.0,0440234743,10.0
2,2.0,21264.0,0440234743,5.0
3,3.0,31299.0,0440234743,10.0
4,4.0,131681.0,0440234743,9.0
5,5.0,136707.0,0440234743,6.0
6,6.0,211321.0,0440234743,8.0
7,7.0,27624.0,0452264464,8.0
8,8.0,36197.0,0452264464,8.0
9,9.0,95392.0,0452264464,5.0
10,10.0,240353.0,0452264464,9.0
11,11.0,254982.0,1841721522,10.0
12,12.0,1486.0,0971880107,5.0
13,13.0,4784.0,0971880107,2.0
14,14.0,5126.0,0971880107,5.0
15,15.0,8361.0,0971880107,2.0
16,16.0,10494.0,0971880107,3.0
17,17.0,11768.0,0971880107,8.0
18,18.0,12264.0,0971880107,7.0
19,19.0,13088.0,0971880107,6.0
20,20.0,13479.0,0971880107,4.0
21,21.0,23021.0,0971880107,10.0
22,22.0,23296.0,0971880107,6.0
23,23.0,24261.0,0971880107,6.0
24,24.0,26806.0,0971880107,9.0
25,25.0,28262.0,0971880107,8.0
26,26.0,28800.0,0971880107,7.0
27,27.0,33535.0,0971880107,3.0
28,28.0,33875.0,0971880107,10.0
29,29.0,34994.0,0971880107,5.0
30,30.0,35513.0,0971880107,8.0
31,31.0,36041.0,0971880107,3.0
32,32.0,36417.0,0971880107,3.0
33,33.0,37074.0,0971880107,8.0
34,34.0,37550.0,0971880107,3.0
35,35.0,37615.0,0971880107,1.0
36,36.0,40919.0,0971880107,5.0
37,37.0,41278.0,0971880107,5.0
38,38.0,42032.0,0971880107,2.0
39,39.0,42128.0,0971880107,2.0
40,40.0,44768.0,0971880107,7.0
41,41.0,47037.0,0971880107,5.0
42,42.0,49634.0,0971880107,4.0
43,43.0,54118.0,0971880107,7.0
44,44.0,54148.0,0971880107,2.0
45,45.0,57868.0,0971880107,2.0
46,46.0,58077.0,0971880107,9.0
47,47.0,59994.0,0971880107,7.0
48,48.0,60633.0,0971880107,8.0
49,49.0,61982.0,0971880107,6.0
50,50.0,64819.0,0971880107,4.0
51,51.0,67994.0,0971880107,2.0
52,52.0,71464.0,0971880107,1.0
53,53.0,72030.0,0971880107,8.0
54,54.0,73260.0,0971880107,6.0
55,55.0,73782.0,0971880107,8.0
56,56.0,73940.0,0971880107,8.0
57,57.0,74903.0,0971880107,5.0
58,58.0,76413.0,0971880107,7.0
59,59.0,76901.0,0971880107,7.0
